resp_id,cty,cons_trt,info_trt,prefer_prop,asylum_home,ideo_scale,know_index,female,age,emp_status,employed,eisced,inc_decile
R_pN6rqBkzl0nhNAJ,Denmark,1,1,0,-1,5,1,0,59,6. Chronic illness or permanent disability,0,4,3
R_1o5qFt2AyMx21Jj,Austria,0,0,0,-2,8,1,0,21,"4. Unemployed, searching",0,2,5
R_OuJmsqz2cZPyTJf,Germany,0,0,1,0,4,3,0,40,2. Self-employed,1,7,7
R_3iQDeaihauBLvFQ,Denmark,0,1,1,-2,8,0,0,20,3. Student,0,2,10
R_BArpmhWHjq1s1O1,Norway,1,0,0,0,5,1,1,43,6. Chronic illness or permanent disability,0,4,2
R_2fvb6sVDqa4y2kg,Sweden,0,0,0,-2,10,3,0,27,1. Paid employee,1,5,7
R_56eZdOcEdtA9Ctr,Switzerland,0,1,1,-1,5,1,1,27,1. Paid employee,1,4,4
R_3iCkh2STZslhVFe,Poland,1,0,0,-2,1,1,0,47,1. Paid employee,1,3,7
R_33BGkrh3qO0UcvS,Poland,1,0,1,-2,5,2,0,48,2. Self-employed,1,7,6
R_3CPmxT5BGZM7Ns2,Austria,1,0,1,-1,7,2,0,19,3. Student,0,5,1
R_31BBPMC8W4iicja,Denmark,1,1,0,-2,6,3,0,46,1. Paid employee,1,6,3
R_3OqMtWF6UC0YtDT,Netherlands,1,0,1,-2,5,1,1,34,1. Paid employee,1,3,7
R_32Qo9sStiMwkgJo,Denmark,1,1,0,0,6,1,0,39,1. Paid employee,1,4,6
R_3OoeA3eEAV0ioMk,Greece,0,1,1,0,5,2,1,28,3. Student,0,6,7
R_1EchtsG27UgFUoH,Greece,0,0,1,-2,5,0,0,38,2. Self-employed,1,7,1
R_xim3G9uHnzOxiJH,Denmark,0,0,1,-2,5,2,1,49,2. Self-employed,1,7,5
R_3g8kcXKnlnKoK7H,Poland,1,1,0,0,5,1,1,42,"4. Unemployed, searching",0,4,3
R_3sakJbu9FnGAiBF,Norway,0,0,1,-2,3,1,0,47,6. Chronic illness or permanent disability,0,5,4
R_3KHXqeAGejWR197,Poland,1,0,1,0,5,2,0,46,1. Paid employee,1,7,8
R_2QVEPhPr9EMKWL4,Poland,0,1,0,-1,5,0,1,40,1. Paid employee,1,6,8
R_1irosH77gRJbFoZ,Netherlands,0,0,0,-2,10,2,0,32,1. Paid employee,1,3,5
R_2dm82JGhfsRNK6r,France,1,0,0,-1,5,0,1,34,8. Working at home,0,4,1
R_3J7UFb66yUYwfZO,Poland,1,1,0,0,6,1,0,42,1. Paid employee,1,5,8
R_3enqfnmrSufEf86,Greece,0,0,1,0,4,3,0,32,1. Paid employee,1,7,4
R_22rb7wbAKqAlbSP,Greece,1,0,1,-2,6,1,0,29,"5. Unemployed, not searching",0,7,1
R_31Mg4MkKVaBCYbS,Hungary,1,1,1,1,3,3,0,59,1. Paid employee,1,6,10
R_XYBkILOxNBI1Vn3,Austria,1,0,0,-2,5,0,1,26,8. Working at home,0,3,3
R_3NXlhMOe8gU1hKF,Denmark,1,1,0,-1,3,2,0,57,"4. Unemployed, searching",0,3,2
R_1EYAf4fJAeyLaB7,Netherlands,1,1,0,-2,7,3,1,47,"4. Unemployed, searching",0,2,1
R_27jwEZRgtjJGseM,Netherlands,0,0,1,0,7,0,0,55,2. Self-employed,1,7,10
R_3fjfBHk0XrMGX2d,Greece,1,1,0,-2,8,3,0,33,"4. Unemployed, searching",0,7,8
R_2SJrnfI6NdopFI2,Norway,1,1,1,1,5,2,0,40,8. Working at home,0,6,2
R_1onI96e51PApaHj,Austria,1,1,0,0,4,1,0,39,1. Paid employee,1,3,5
R_1LXomA2TrfvxRWa,Denmark,1,1,0,-2,10,1,0,60,1. Paid employee,1,3,2
R_x0kKTLpgBFWpSal,Netherlands,0,1,1,-2,10,1,0,34,1. Paid employee,1,6,5
