"wage","female","age","educ","exper"
13.70625019,0,26,13,6
6.985118866,0,31,8,16
7.375,1,33,8,18
4.949999809,0,30,10,13
10.56428528,0,43,6,30
5.493750095,1,42,9,26
13.72083378,0,30,10,13
4.816964149,1,28,10,11
16.27857208,1,31,8,16
1.341346145,1,42,9,26
10.35909081,0,30,13,10
1.924999952,0,36,10,19
16.74374962,0,50,9,34
7.09375,0,41,8,26
15.74374962,1,32,7,18
6.162499905,0,33,7,19
6.162499905,1,24,10,7
0.818750024,0,30,10,13
2.412499905,0,45,9,29
4.243750095,0,43,8,28
8.09375,1,42,6,29
14.99374962,1,39,6,26
7.34375,0,41,9,25
4.243750095,0,29,10,12
14.24374962,0,45,10,28
8.662500381,0,50,9,34
1.924999952,1,47,6,34
8.662500381,1,19,10,2
8.162500381,1,35,9,19
7.34375,0,25,7,11
7.34375,0,23,6,10
11.86979198,0,47,9,31
4.412499905,0,58,8,43
3.912499905,0,24,10,7
3.912499905,0,47,6,34
8.662500381,0,23,10,6
4.537499905,1,21,10,4
3.75,1,50,13,30
6.293749809,0,21,8,6
3.956249952,0,19,9,3
6.25,1,33,7,19
14.375,0,21,6,8
6.875,0,53,8,38
10.625,0,42,8,27
5.625,1,45,7,31
5.25,1,21,10,4
7.416666508,0,52,7,38
7.416666508,0,24,8,9
4.033333302,0,37,8,22
8.662500381,0,41,8,26
18.10135078,1,26,12,7
8.662500381,1,22,10,5
10.56428528,1,34,12,15
2.456249952,0,34,12,15
5.625,1,50,10,33
6.625,0,22,10,5
21.04375076,0,22,10,5
6.231249809,1,40,8,25
3.4375,1,49,5,37
6.25,0,46,3,36
15.49374962,1,43,10,26
21.25,0,53,6,40
5,1,29,10,12
11.25,1,23,10,6
2.662499905,0,26,6,13
7.5,0,22,8,7
4.375,1,20,6,7
7.75,1,45,8,30
7,1,26,10,9
4.25,1,22,10,5
4.6875,1,20,10,3
8.75,0,33,6,20
3.75,1,43,6,30
7.09375,0,30,8,15
6.46875,0,47,2,38
2.175675631,0,55,8,40
10.49374962,0,32,5,20
6.162499905,1,30,6,17
5.537499905,1,30,10,13
11.39285755,1,35,11,17
12.99374962,0,22,10,5
2.777777672,1,43,9,27
5.99444437,0,38,8,23
3.534090996,1,29,8,14
4.375,1,23,8,8
8.638889313,1,58,12,39
6,1,33,8,18
3.037499905,0,36,3,26
2.400000095,1,22,8,7
0.800000012,0,24,10,7
7.09375,1,59,4,48
7.59375,0,26,10,9
6.162499905,0,29,4,18
7.84375,1,29,9,13
6.09375,0,45,5,33
7.84375,1,20,7,6
7.96875,1,18,6,5
7.71875,1,41,6,28
6.162499905,0,37,5,25
6,1,43,6,30
7.161110878,0,21,6,8
7.46875,0,57,7,43
7.34375,0,31,7,17
13.71249962,0,49,4,38
1.339285731,1,22,8,7
4.166666508,0,38,6,25
5.555555344,1,36,8,21
1.5625,0,21,10,4
3.662499905,0,48,8,33
6.162499905,1,20,12,1
6.162499905,1,23,13,3
8.012499809,0,23,10,6
6.162499905,1,25,12,6
6.162499905,1,19,8,4
1.162500024,0,40,7,26
6.162499905,1,39,10,22
2.875,1,32,8,17
2.5,1,17,7,3
3.700000048,0,27,5,15
3.287499905,1,23,9,7
3.287499905,1,20,9,4
4.243750095,0,50,6,37
3.912499905,1,51,5,39
8.287500381,1,37,5,25
2.412499905,0,52,8,37
7.412499905,1,55,8,40
8.34375,0,41,6,28
7.71875,0,18,8,3
6.84375,0,39,4,28
7.59375,1,41,6,28
7.71875,0,20,5,8
7.71875,1,18,8,3
7.412499905,0,47,4,36
8.037500381,0,27,9,11
8.037500381,0,24,7,10
3.662499905,0,41,7,27
5.537499905,0,36,6,23
4.912499905,0,37,8,22
4.150000095,1,37,5,25
6.162499905,0,52,8,37
7.787499905,1,42,6,29
6.162499905,0,25,10,8
7.59375,1,35,8,20
9.243749619,0,42,8,27
1.287500024,1,40,6,27
60.27500153,0,18,7,4
7.412790775,1,42,8,27
8.34375,0,41,9,25
6.162499905,0,23,8,8
3.125,1,20,7,6
2.412499905,0,49,6,36
27.45624924,0,36,8,21
12.99374962,1,35,8,20
3.78125,0,31,1,23
3.78125,0,50,0,43
0.744791687,1,21,4,10
3.78125,0,22,3,12
1.604166627,1,24,9,8
3.811111212,0,28,0,21
3.777777672,1,38,1,30
0.787500024,1,37,1,29
1.844444394,0,26,3,16
1.844444394,0,25,6,12
1.844444394,1,24,5,12
1.711111069,1,29,6,16
1.855555534,0,24,1,16
3.729166746,1,20,7,6
1.855555534,0,16,4,5
1.466666698,0,21,8,6
1.522222281,1,17,8,2
1.655555606,0,48,5,36
1.711111069,1,30,5,18
3.877777815,0,27,7,13
1.644444466,0,29,4,18
1.855555534,1,28,4,17
1.733333349,1,24,8,9
4.222222328,0,39,8,24
1.899999976,1,40,6,27
1.711111069,1,22,4,11
1.711111069,0,50,0,43
3.622222185,0,31,7,17
4.822916508,1,29,8,14
1.655555606,0,41,0,34
2.137500048,0,22,3,12
2.137500048,1,22,3,12
3.609375,0,31,2,22
1.578125,1,27,4,16
1.604166627,0,41,0,34
1.604166627,0,44,0,37
1.604166627,1,50,1,42
1.604166627,0,22,1,14
1.604166627,1,49,3,39
1.604166627,0,58,9,42
1.604166627,1,44,0,37
1.604166627,0,58,0,51
1.604166627,1,25,5,13
1.604166627,1,26,5,14
7.699999809,0,45,3,35
1.711111069,0,22,8,7
7.699999809,0,43,0,36
7.699999809,0,55,3,45
7.699999809,0,30,4,19
7.699999809,0,60,4,49
7.699999809,0,43,4,32
4.033333302,0,56,5,44
7.699999809,0,40,4,29
4.033333302,0,56,4,45
7.699999809,0,46,5,34
4.033333302,0,17,5,5
4.033333302,1,19,7,5
4.033333302,1,22,7,8
7.699999809,0,50,6,37
1.604166627,0,39,4,28
1.604166627,1,42,2,33
1.604166627,1,17,4,6
1.604166627,0,32,0,25
1.604166627,1,25,3,15
1.604166627,0,23,0,16
1.604166627,0,28,0,21
1.604166627,1,22,1,14
1.604166627,0,33,2,24
1.604166627,1,30,1,22
1.604166627,0,52,0,45
1.604166627,0,20,4,9
1.604166627,0,30,5,18
1.604166627,0,28,3,18
1.604166627,0,60,0,53
1.604166627,0,27,6,14
1.539999962,0,27,4,16
4.243750095,1,26,8,11
5.221153736,1,31,7,17
9.899999619,1,31,8,16
8.125,0,24,8,9
0.467391312,0,41,7,27
14.55978298,0,47,6,34
7.532608509,0,21,8,6
7.532608509,0,23,9,7
7.532608509,0,37,4,26
1.673913002,0,28,2,19
1.673913002,0,33,4,22
1.673913002,0,51,6,38
1.924999952,1,20,10,3
1.673913002,1,49,0,42
8.038043022,0,36,5,24
6.929999828,1,36,9,20
2.489583254,0,43,5,31
3.072916746,1,39,3,29
2.315217495,0,34,7,20
3.402173996,1,31,7,17
7.532608509,0,45,6,32
6.228260994,0,42,6,29
3.293478251,1,40,2,31
3.78125,0,45,4,34
3.78125,0,36,4,25
3.78125,0,31,5,19
3.78125,0,34,0,27
3.78125,0,20,5,8
3.78125,0,41,4,30
3.78125,0,34,1,26
3.78125,0,23,2,14
6.651041508,1,32,7,18
3.78125,0,33,3,23
1.711111069,1,32,6,19
4.71875,0,45,8,30
1.162500024,1,42,8,27
3.945652246,0,46,6,33
4.033333302,0,20,7,6
4.033333302,1,25,7,11
6.640625,0,45,1,37
3.111111164,1,24,4,13
3.372222185,1,24,7,10
0.777777791,1,27,8,12
3.372222185,1,54,6,41
4.0625,0,38,9,22
3.609375,1,31,9,15
4.0625,0,30,9,14
3.869047642,0,33,2,24
4.333333492,0,34,5,22
3.372222185,0,27,6,14
3.613095284,1,41,6,28
3.372222185,0,24,4,13
3.372222185,1,28,6,15
4.333333492,0,38,4,27
3.372222185,1,21,7,7
3.612499952,0,24,5,12
4.0625,1,20,8,5
3.372222185,1,20,6,7
3.429166555,0,26,6,13
3.372222185,1,21,7,7
3.65625,0,22,6,9
3.65625,0,31,8,16
3.25,0,27,8,12
3.75,0,44,3,34
3.75,1,39,3,29
3.385416746,0,36,3,26
3.75,1,34,3,24
3.75,1,30,9,14
3.611111164,0,25,10,8
2.945652246,0,22,8,7
3.387500048,0,25,1,17
3.25,0,54,1,46
3.65625,0,41,2,32
3.482142925,0,29,2,20
3.401162863,0,34,3,24
3.25,0,40,5,28
3.567073107,0,36,5,24
3.65625,0,50,4,39
2.777777672,0,27,7,13
3.25,0,35,6,22
3.779069662,0,33,5,21
2.826086998,0,36,5,24
4.125,0,45,3,35
5.5,1,42,3,32
2.777777672,0,30,7,16
3.928571463,0,37,2,28
3.529069662,0,35,3,25
3,0,38,6,25
3.482142925,0,48,5,36
4.0625,0,40,3,30
5.5,1,36,1,28
2.777777672,0,22,8,7
6.446428776,0,50,2,41
3.125,0,30,7,16
3.869047642,0,30,2,21
6.016666889,0,44,3,34
4.739583492,1,25,4,14
4.642857075,0,47,4,36
4.515625,0,49,6,36
4.333333492,0,60,4,49
3.372222185,1,23,7,9
3.613095284,1,52,0,45
3.613095284,1,54,0,47
4.0625,0,58,3,48
3.372222185,1,37,1,29
3.372222185,1,30,4,19
3.372222185,1,40,0,33
3.372222185,1,27,3,17
3.372222185,1,29,5,17
3.372222185,1,40,9,24
3.372222185,1,24,6,11
5.416666508,0,39,2,30
3.25,1,36,0,29
7.3125,0,33,6,20
5.956250191,1,32,7,18
7.3125,0,40,1,32
5.078125,0,20,6,7
4.875,0,49,6,36
5.956250191,0,50,4,39
2.200000048,1,24,6,11
2.033333302,1,20,6,7
3.611111164,0,24,7,10
4.183333397,0,21,6,8
3.793750048,1,19,7,5
4.849999905,0,20,5,8
7.223958492,0,25,7,11
4.963541508,0,48,3,38
6.261111259,0,39,7,25
3.611111164,0,50,0,43
4.177083492,0,33,4,22
4.46875,1,28,1,20
5.550000191,0,42,5,30
4.455555439,0,23,7,9
5.53125,0,28,6,15
5.012499809,1,22,5,10
5,0,42,7,28
7.71875,0,30,6,17
5.055555344,0,25,8,10
6.012499809,0,35,6,22
