"clintondis","vote","dem","rep","female","persfinance","natlecon","fake1","fake2","fake3","fake4","fake5"
4.0804,"Bush",0,1,1,1,0,27.1976217672389,0.260361490736558,0.0552380651546021,11.7263203801122,0.0420941095799208
4.0804,"Bush",0,1,1,0,-1,28.8491125525836,2.57544976372339,0.255847538500867,11.3969022142701,0.347776282580556
1.0404,"Clinton",1,0,1,0,-1,37.7935415707456,-1.18528881058722,0.0974740244827803,16.4884427092038,1.63827768451449
4e-04,"Bush",0,1,0,0,-1,30.3525419571229,0.100919859012857,0.0452673797265012,18.6130570259411,0.531915123574436
0.9604,"Clinton",0,0,1,0,-1,30.6464386758047,-1.77997728796762,0.0809046509675682,12.968124568928,0.590886129997671
3.9204,"Clinton",1,0,1,-1,-1,38.5753249344164,0.589835922958758,0.223044425093879,16.9991667014547,0.985273119020176
4e-04,"Perot",1,0,1,1,0,32.304581029946,1.0966084717214,0.205312249871592,16.7264614701271,2.55961505124781
1.0404,"Bush",0,1,0,0,0,23.6746938269673,1.44566224110115,0.531627327796626,7.78674073307775,0.311930386861513
9.1204,"Bush",0,1,1,1,-1,26.5657357405324,-1.92514525183712,0.803700061472964,11.6470261875074,1.75395028098466
1.0404,"Perot",0,1,0,0,0,27.7716901495002,0.41276949719403,0.185953748101989,8.01890048547648,3.82161029220975
4e-04,"Clinton",0,0,0,0,-1,36.1204089871973,1.59336995138365,0.101018415870763,17.7496040805709,1.60699429257423
9.1204,"Bush",0,1,1,0,0,31.7990691352868,-0.414015863042303,0.109614319478472,15.1272456455044,3.41420724226122
9.1204,"Perot",1,0,1,0,-1,32.0038572529703,-0.212150532081949,0.116130214458106,9.15997220622376,1.39647655431712
1.0404,"Perot",0,1,1,1,1,30.5534135797256,-0.0365372222047413,0.180495692106585,19.9495144009124,0.154711187675005
9.1204,"Bush",0,1,0,-1,-1,27.2207943262296,0.365018751433036,0.390762384966914,14.9170562587678,2.55064152727339
4e-04,"Clinton",1,0,1,-1,-1,38.9345656840154,0.665159875745969,0.00768440817252065,7.03714119712822,0.473291896749288
4e-04,"Perot",0,1,1,1,-1,32.4892523911462,1.31782088371148,0.490440916242011,14.0074484171346,0.787454540799272
4.0804,"Clinton",0,1,0,-1,-1,20.1669142168518,-0.0954875904449924,0.347215418689851,8.84718863340095,0.798988737123919
