"AcresBurned","year","county","Injuries","Fatalities","Helicopters"
257314,2013,"Tuolumne",NA,NA,NA
30274,2013,"Los Angeles",NA,NA,NA
27531,2013,"Riverside",NA,NA,NA
27440,2013,"Placer",NA,NA,NA
24251,2013,"Ventura",10,NA,11
22992,2013,"Fresno",NA,NA,NA
20292,2013,"Riverside",26,NA,20
14754,2013,"Siskiyou",NA,NA,NA
12503,2013,"Humboldt",NA,NA,NA
11429,2013,"Tehama",5,NA,5
8073,2013,"Shasta",6,NA,NA
7055,2013,"San Diego",12,NA,9
6965,2013,"Tehama",6,NA,6
4346,2013,"Kern",4,NA,1
4346,2013,"Ventura",4,NA,1
3505,2013,"Sonoma",6,NA,NA
3166,2013,"Riverside",2,NA,5
3111,2013,"Contra Costa",NA,NA,NA
2781,2013,"San Diego",5,NA,25
2462,2013,"Butte",5,NA,20
2236,2013,"San Diego",NA,NA,NA
2060,2013,"Tulare",NA,NA,NA
1984,2013,"Santa Barbara",NA,NA,NA
1708,2013,"Mariposa",1,NA,NA
1383,2013,"Riverside",NA,NA,NA
1271,2013,"San Diego",6,NA,27
1070,2013,"Tuolumne",NA,NA,NA
917,2013,"Monterey",NA,NA,NA
794,2013,"Kern",NA,NA,NA
712,2013,"Kern",5,NA,20
712,2013,"Los Angeles",NA,NA,NA
612,2013,"Kern",NA,NA,NA
572,2013,"El Dorado",NA,NA,NA
534,2013,"San Bernardino",NA,NA,29
513,2013,"Plumas",NA,NA,NA
510,2013,"Riverside",NA,NA,NA
502,2013,"Modoc",NA,NA,NA
500,2013,"San Luis Obispo",NA,NA,NA
492,2013,"Contra Costa",NA,NA,NA
482,2013,"Madera",NA,NA,NA
413,2013,"San Bernardino",NA,NA,NA
406,2013,"Inyo",2,NA,NA
376,2013,"Napa",NA,NA,NA
354,2013,"San Benito",NA,NA,NA
311,2013,"Riverside",NA,NA,NA
305,2013,"Butte",NA,NA,1
303,2013,"San Joaquin",NA,NA,NA
298,2013,"Butte",NA,NA,2
296,2013,"Lake",NA,NA,NA
274,2013,"Contra Costa",NA,NA,NA
274,2013,"Madera",NA,NA,NA
268,2013,"Los Angeles",NA,NA,NA
263,2013,"San Diego",2,NA,1
243,2013,"San Bernardino",NA,NA,NA
240,2013,"Alameda",NA,NA,NA
237,2013,"Placer",NA,NA,NA
226,2013,"Glenn",NA,NA,NA
217,2013,"Glenn",NA,NA,5
213,2013,"Monterey",NA,NA,NA
200,2013,"San Bernardino",NA,NA,NA
200,2013,"Tehama",NA,NA,NA
196,2013,"Shasta",NA,NA,24
195,2013,"Tehama",NA,NA,NA
190,2013,"Napa",NA,NA,NA
170,2013,"Santa Barbara",NA,NA,NA
163,2013,"Yolo",NA,NA,NA
163,2013,"El Dorado",NA,NA,NA
163,2013,"Sacramento",NA,NA,NA
159,2013,"Sonoma",NA,NA,NA
158,2013,"Sonoma",NA,NA,NA
150,2013,"Alameda",NA,NA,NA
150,2013,"Riverside",NA,NA,NA
150,2013,"Stanislaus",NA,NA,NA
150,2013,"Fresno",NA,NA,NA
150,2013,"Butte",NA,NA,NA
149,2013,"Los Angeles",NA,NA,NA
134,2013,"Tulare",NA,NA,NA
125,2013,"Sonoma",NA,NA,5
124,2013,"Solano",NA,NA,NA
124,2013,"Merced",NA,NA,NA
124,2013,"Riverside",NA,NA,NA
120,2013,"Lake",NA,NA,NA
116,2013,"El Dorado",NA,NA,NA
110,2013,"San Bernardino",NA,NA,NA
108,2013,"Fresno",NA,NA,NA
105,2013,"Monterey",NA,NA,NA
100,2013,"Los Angeles",NA,NA,NA
100,2013,"Tuolumne",NA,NA,NA
100,2013,"San Diego",NA,NA,NA
98,2013,"Mendocino",NA,NA,NA
97,2013,"Modoc",NA,NA,NA
97,2013,"San Bernardino",NA,NA,NA
97,2013,"Lassen",NA,NA,NA
96,2013,"Amador",NA,NA,NA
94,2013,"San Luis Obispo",NA,NA,NA
92,2013,"Butte",2,NA,NA
91,2013,"Madera",NA,NA,2
90,2013,"Riverside",NA,NA,NA
85,2013,"San Luis Obispo",NA,NA,NA
82,2013,"Mendocino",NA,NA,NA
80,2013,"Butte",1,NA,NA
80,2013,"Fresno",NA,NA,NA
75,2013,"Tehama",NA,NA,NA
75,2013,"San Bernardino",NA,NA,NA
75,2013,"Madera",NA,NA,NA
75,2013,"San Bernardino",1,NA,NA
75,2013,"Napa",NA,NA,NA
73,2013,"San Bernardino",NA,NA,NA
73,2013,"Yuba",NA,NA,NA
72,2013,"Butte",NA,NA,NA
70,2013,"Lake",NA,NA,NA
68,2013,"Modoc",NA,NA,NA
64,2013,"Ventura",NA,NA,NA
60,2013,"Riverside",NA,NA,NA
60,2013,"Riverside",NA,NA,NA
52,2013,"Nevada",NA,NA,NA
51,2013,"San Luis Obispo",NA,NA,2
50,2013,"Lake",NA,NA,NA
50,2013,"Siskiyou",NA,NA,NA
50,2013,"Santa Clara",NA,NA,NA
50,2013,"Alameda",NA,NA,NA
50,2013,"San Luis Obispo",NA,NA,NA
46,2013,"Calaveras",2,NA,18
46,2013,"Fresno",NA,NA,NA
45,2013,"Mendocino",NA,NA,NA
44,2013,"Ventura",NA,NA,NA
43,2013,"Shasta",NA,NA,NA
42,2013,"Riverside",NA,NA,NA
41,2013,"San Mateo",NA,NA,NA
40,2013,"Santa Clara",NA,NA,NA
40,2013,"Orange",NA,NA,NA
40,2013,"San Diego",NA,NA,NA
40,2013,"Riverside",NA,NA,NA
40,2013,"Siskiyou",NA,NA,NA
40,2013,"Riverside",NA,NA,NA
40,2013,"Riverside",NA,NA,NA
40,2013,"Riverside",NA,NA,NA
