"home_team","home_conference","home_points","away_team","away_conference","away_points","excitement_index","home_win"
"Arizona State","Pac-12",40,"Northern Arizona","Big Sky",3,NA,TRUE
"Colorado","Pac-12",13,"TCU","Big 12",38,3.1865666133,FALSE
"UCLA","Pac-12",45,"Bowling Green","Mid-American",17,3.3311599769,TRUE
"San Diego State","Mountain West",20,"Arizona","Pac-12",38,3.767920909,FALSE
"Georgia","SEC",49,"Oregon","Pac-12",3,1.9145127895,TRUE
"California","Pac-12",34,"UC Davis","Big Sky",13,3.9157132679,TRUE
"USC","Pac-12",66,"Rice","Conference USA",14,1.2134471822,TRUE
"Florida","SEC",29,"Utah","Pac-12",26,8.3777894375,TRUE
"Stanford","Pac-12",41,"Colgate","Patriot",10,1.1579876438,TRUE
"Washington State","Pac-12",24,"Idaho","Big Sky",17,4.2154013195,TRUE
"Oregon State","Pac-12",34,"Boise State","Mountain West",17,3.9024209749,TRUE
"Washington","Pac-12",45,"Kent State","Mid-American",20,1.6372223915,TRUE
"Utah","Pac-12",73,"Southern Utah","Western Athletic",7,2.3698163999,TRUE
"Wisconsin","Big Ten",14,"Washington State","Pac-12",17,NA,FALSE
"Air Force","Mountain West",41,"Colorado","Pac-12",10,NA,TRUE
"California","Pac-12",20,"UNLV","Mountain West",14,6.2895707636,TRUE
"Washington","Pac-12",52,"Portland State","Big Sky",6,2.6489899264,TRUE
"UCLA","Pac-12",45,"Alabama State","SWAC",7,3.9134301226,TRUE
"Stanford","Pac-12",28,"USC","Pac-12",41,2.8489641974,FALSE
"Oklahoma State","Big 12",34,"Arizona State","Pac-12",17,5.9675824212,TRUE
"Oregon","Pac-12",70,"Eastern Washington","Big Sky",14,2.443849706,TRUE
"Fresno State","Mountain West",32,"Oregon State","Pac-12",35,7.4268814616,FALSE
"Arizona","Pac-12",17,"Mississippi State","SEC",39,5.0176472013,FALSE
"UCLA","Pac-12",32,"South Alabama","Sun Belt",31,10.1726241263,TRUE
"Notre Dame","FBS Independents",24,"California","Pac-12",17,6.6104197126,TRUE
"Minnesota","Big Ten",49,"Colorado","Pac-12",7,1.1685222491,TRUE
"Oregon","Pac-12",41,"BYU","FBS Independents",20,2.9680665893,TRUE
"Washington State","Pac-12",38,"Colorado State","Mountain West",7,1.4603485917,TRUE
"Washington","Pac-12",39,"Michigan State","Big Ten",28,3.1604930366,TRUE
"Oregon State","Pac-12",68,"Montana State","Big Sky",28,1.9265766429,TRUE
"Utah","Pac-12",35,"San Diego State","Mountain West",7,1.8594664675,TRUE
"USC","Pac-12",45,"Fresno State","Mountain West",17,3.2780480084,TRUE
"Arizona State","Pac-12",21,"Eastern Michigan","Mid-American",30,NA,FALSE
