"name","city","business_postal_code","inspection_date","risk_category","isViolation","highRisk"
"CHAIRMAN SF, LLC","San Francisco","94124","01/08/2019 12:00:00 AM",NA,FALSE,NA
"Luigi's Pizzeria","San Francisco","94133","01/05/2017 12:00:00 AM",NA,FALSE,NA
"SK&L Trading, LLC","San Francisco","94133","08/23/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Akikos Sushi","San Francisco","94108","03/08/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Bar Crenn","San Francisco","94123","02/28/2018 12:00:00 AM",NA,FALSE,NA
"Ilana Cafe","San Francisco","94121","10/24/2016 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Grandeho's Kamekyo II","San Francisco","94109","02/05/2019 12:00:00 AM",NA,FALSE,NA
"Amphawa Thai Noodle House","San Francisco","94122","06/05/2017 12:00:00 AM",NA,FALSE,NA
"Shanghai Dumpling King 2","San Francisco","94127","12/13/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Sam Rong Cafe","San Francisco","94133","05/25/2017 12:00:00 AM",NA,FALSE,NA
"Champa Garden","San Francisco","94112","03/05/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"CHA-AM RESTAURANT","San Francisco","94107","07/09/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Kara's Cupcakes","San Francisco","94107","01/18/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"PASITA'S BAKERY","San Francisco","94112","03/21/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Senor Sisig #3","San Francisco",NA,"01/26/2017 12:00:00 AM",NA,FALSE,NA
"95222 - V-4 King Street Carvery (Cart)","San Francisco","94107","03/26/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"DECCAN HOUSE","San Francisco","94110","11/03/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Xiao Loong","San Francisco",NA,"01/31/2018 12:00:00 AM","Low Risk",TRUE,FALSE
"Green Bar","San Francisco","94111","03/07/2019 12:00:00 AM","High Risk",TRUE,TRUE
"RICHMOND NEW MAY WAH SUPERMARKET","San Francisco","94118","07/31/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Japanese House","San Francisco","94103","03/01/2018 12:00:00 AM",NA,FALSE,NA
"Epicurean@SHCP","San Francisco","94109","09/17/2018 12:00:00 AM","High Risk",TRUE,TRUE
"Flying Pig Bistro","San Francisco","94103","10/15/2018 12:00:00 AM",NA,FALSE,NA
"Beard Papa's","San Francisco","94103","08/22/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Cafe Encore","San Francisco","94109","11/07/2016 12:00:00 AM","Low Risk",TRUE,FALSE
"NICKIES IRISH PUB","San Francisco","94117","05/29/2019 12:00:00 AM",NA,FALSE,NA
"MONGKOK DIM SUM & RESTAURANT","San Francisco","94122","05/15/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"NEW TSING TAO RESTAURANT","San Francisco","94127","01/04/2019 12:00:00 AM",NA,FALSE,NA
"Gambinos Deli, Inc.","San Francisco","94111","06/26/2017 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Guzman's Produce Market, Inc.","San Francisco","94112","09/14/2017 12:00:00 AM","High Risk",TRUE,TRUE
"Extreme Pizza","San Francisco","94103","08/29/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Niji Japanese Grille","San Francisco","94104","07/15/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Leadership High School","San Francisco","94112","09/18/2019 12:00:00 AM",NA,FALSE,NA
"Hogwash","San Francisco",NA,"11/27/2018 12:00:00 AM","High Risk",TRUE,TRUE
"The Napper Tandy","San Francisco",NA,"03/07/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Boss Supermarket","San Francisco","94122","07/16/2019 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Peet's Coffee and Tea","San Francisco","94104","05/15/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"HAMANO SUSHI","San Francisco","94114","09/19/2018 12:00:00 AM",NA,FALSE,NA
"Beer Nerds","San Francisco","94110","07/22/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Kagawa-ya Udon Noodle Company","San Francisco","94103","06/26/2017 12:00:00 AM","Low Risk",TRUE,FALSE
"Soma Eats","San Francisco","94105","03/13/2019 12:00:00 AM","Low Risk",TRUE,FALSE
"Super Save Supermarket","San Francisco","94124","07/16/2018 12:00:00 AM","Moderate Risk",TRUE,FALSE
"Pizza Express","San Francisco","94110","09/25/2017 12:00:00 AM",NA,FALSE,NA
"7-Mission Restaurant","San Francisco","94103","05/22/2019 12:00:00 AM","High Risk",TRUE,TRUE
"Ritu Indian Soul Food","San Francisco","94110","12/22/2016 12:00:00 AM","Low Risk",TRUE,FALSE
