"id","year","animal","place","state","numAttacks","Duration","Affected"
1,2020,"Squirrel","Columbia","SC",1,0,1800
2,2020,"Squirrel","Omaha","NE",1,120,0
3,2020,"Cow","Chapelton","South Lanarkshire",1,300,800
4,2019,"Squirrel","Topeka","KS",1,60,4000
5,2019,"Mouse","Cona",NA,1,0,0
6,2019,"Squirrel","West Lafayette","IN",1,450,4400
7,2019,"Squirrel","Youngstown","OH",1,50,21
8,2019,"Slug",NA,"Kyushu",1,0,0
9,2019,"Leopard","Lala Kherli","Sohna",1,0,0
10,2019,"Bird Nest","St Petersburg","FL",1,0,0
11,2019,"Bird","San Luis Obispo","CA",1,0,0
12,2019,"Cat","Mangilao","Guam",1,120,0
13,2019,"Squirrel","Toronto","ON",1,0,4000
14,2019,"Squirrel","Bewer","ME",1,30,2400
15,2019,"Squirrel","Weymouth","MA",1,43,3400
16,2019,"Bird","Hammond","LA",1,0,22000
17,2019,"Squirrel","Norfolk","VA",1,0,0
18,2019,"Squirrel","Bangor","ME",1,60,1400
19,2019,"Squirrel","Trinity","CA",1,0,0
20,2019,"Squirrel","Bangor","MN",1,60,1400
21,2019,"Squirrel","Red Bluff","CA",1,0,1700
22,2018,"Raccoon","Kissimmee","FL",1,0,3000
23,2018,"Squirrel","Andersen","SC",1,120,4000
24,2018,"Squirrel","Athens","TN",1,120,1600
25,2018,"Squirrel","West Des Moines","IA",1,0,1000
26,2018,"Squirrel","Vectren","IN",1,30,2000
27,2018,"Squirrel","Fortis","BC",1,0,5500
28,2018,"Squirrel","Benton","IL",1,0,1500
29,2018,"Squirrel","Sioux City","IA",1,0,1400
30,2018,"Squirrel","Roanoke","VA",1,0,0
31,2018,"Squirrel","Roanoke","VA",1,0,600
32,2018,"Squirrel","Herzogenaurach",NA,1,20,0
33,2018,"Squirrel","New York","NY",1,0,0
34,2018,"Squirrel","Erie","NY",1,0,12500
35,2018,"Squirrel","Jennings","LA",1,0,2000
36,2018,"Bird","Enon","OH",1,0,12000
37,2018,"Squirrel","Blacksburg","VA",1,120,0
38,2018,"Squirrel","Portland","ME",1,0,3400
39,2018,"Squirrel","Oshkosh","WI",1,50,3500
40,2018,"Squirrel","Longmont","CO",1,0,0
41,2018,"Squirrel","Charleston","SC",1,120,3000
42,2018,"Animal","Sillwater","OK",1,60,4400
43,2018,"Rat","Biel",NA,1,88,0
44,2018,"Squirrel","Hackettstown","NJ",1,0,2900
45,2018,"Beaver","Altai","Soltonsky",1,0,1500
46,2018,"Cat","New Orleans","LA",1,165,7500
47,2018,"Bird","La Mure",NA,1,0,0
48,2018,"Animal","Mt. Horeb","WI",1,90,1700
49,2018,"Squirrel","South Tyler","TX",1,0,1000
50,2018,"Squirrel","Manchester","MA",1,0,500
51,2018,"Squirrel","Boston","MA",1,0,0
52,2018,"Squirrel","Newmarket",NA,1,420,11000
53,2018,"Raccoon","Greeneville","NC",1,0,3400
54,2018,"Snake","Commerace City","CO",1,0,0
55,2018,"Mouse","Orbe",NA,1,56,2500
56,2018,"Squirrel","Grass Valley","CA",1,0,1200
57,2018,"Squirrel","Spokane","WA",1,0,6000
58,2018,"Raccoon","Columbus","OH",1,0,0
59,2018,"Animal","San Diego","CA",1,0,3000
60,2018,"Beaver","Marshalltown","IA",1,0,595
61,2018,"Bird","San Antonio","TX",1,0,0
62,2018,"Bird","WASHOE VALLEY","NV",1,0,0
63,2018,"Squirrel","Portland","MA",1,0,0
64,2018,"Bird","El Paso","TX",1,0,0
65,2018,"Bird","Palo Alto","CA",1,60,240
66,2018,"Squirrel","Arab","AL",1,0,0
67,2018,"Bird","Zollernalbkreis",NA,1,0,0
68,2018,"Raccoon","Lake City","AR",1,0,0
69,2018,"Bird","Butte","MT",1,0,0
70,2018,"Animal","Redmond","OR",1,0,0
71,2018,"Bird","Ottawa","ON",1,0,0
72,2018,"Animal","Seattle","WA",1,90,0
73,2018,"Squirrel","Ottawa","ON",1,0,0
74,2018,"Squirrel","Columbus","MS",1,0,0
75,2018,"Raccoon","Huntsville","AL",1,0,0
76,2018,"Animal","Meriden","CT",1,0,3000
77,2018,"Squirrel","North Bay","ON",1,0,0
78,2018,"Squirrel","Manhattan","KS",1,0,0
79,2018,"Squirrel","Montpelier","VT",1,0,0
80,2018,"Squirrel","Marquette","MI",1,0,0
81,2018,"Squirrel","Centralia","WA",1,0,850
82,2018,"Raccoon","Nashville","TN",1,0,0
83,2018,"Bird","El Paso","TX",1,0,0
84,2018,"Squirrel","Brewer","ME",1,30,3000
85,2018,"Animal","Bay City","MI",1,0,1700
86,2018,"Squirrel","Knoxville","TN",1,60,6000
87,2018,"Squirrel","Maspeth","NY",1,40,500
88,2018,"Squirrel","Coldwater","MI",1,0,0
89,2018,"Squirrel","Moorhead","MN",1,0,74
90,2018,"Animal","Burlington","VT",1,0,0
91,2018,"Raccoon","Dartmouth","NH",1,0,0
92,2018,"Squirrel","Bend","OR",1,240,4700
93,2018,"Squirrel","Fitchburg","MA",1,0,439
94,2018,"Squirrel","Killeen","TX",1,840,0
95,2018,"Bird","Westhill","SK",1,0,0
96,2018,"Squirrel","Thoroughbred","OH",1,0,0
97,2018,"Squirrel","Guelph","OT",1,0,0
98,2018,"Raccoon","St. Martin","LA",1,60,0
99,2018,"Squirrel","Baton Rouge","LA",1,0,2700
100,2018,"Squirrel","Bend","OR",1,0,10000
101,2018,"Animal","Fargo","ND",1,0,600
102,2018,"Squirrel","Morganton","WV",1,0,1400
103,2018,"Squirrel","Turku",NA,1,0,1300
104,2018,"Bird","Grand Junction","CO",1,0,0
105,2018,"Rat","Adelaide",NA,1,0,0
106,2018,"Squirrel","London","ON",1,15,12000
107,2018,"Animal","North Bay","ON",1,0,5
108,2018,"Animal","Grand Rapids","WY",1,120,3560
109,2018,"Squirrel","Baton Rouge","LA",1,180,2700
110,2018,"Bird","Topeka","KS",1,0,2100
111,2018,"Squirrel","Wellsburg","WV",1,0,0
112,2018,"Raccoon","Seattle","WA",1,0,6000
113,2018,"Animal","North Bay","ON",1,0,15
114,2018,"Bird",NA,NA,1,0,5000
115,2018,"Squirrel","Kitchener",NA,1,0,700
116,2018,"Squirrel","Columbia","MO",1,0,75
117,2018,"Squirrel","PRESQUE ISLE,","MI",1,0,2300
118,2018,"Bird","Petaluma","CA",1,0,17000
119,2018,"Squirrel","Portland","OR",1,180,2000
120,2018,"Squirrel","Montreal","ON",1,0,0
121,2018,"Squirrel","Armagh",NA,1,0,8000
122,2018,"Snake","Hays","KS",1,50,4600
123,2018,"Squirrel","Reading","MA",1,0,0
124,2018,"Bird","Stratford","CT",1,0,2000
125,2018,"Bird","Pike Township","PA",1,0,100
126,2018,"Rats","Honolulu","HI",1,0,0
127,2018,"Squirrel","Reading","MA",1,10,0
128,2018,"Squirrel","Hibbing","MH",1,0,0
129,2018,"Animal","Boston","MA",1,180,0
130,2018,"Animal",NA,"BC",1,0,0
131,2018,"Squirrel","Huntsville","AL",1,0,0
132,2018,"Squirrel","Sturgeon Bay","WI",1,0,1000
133,2018,"Bird","Napier",NA,1,45,900
134,2018,"Squirrel","Kissimmee","FL",1,60,0
135,2018,"Squirrel","Linden","IN",1,0,0
136,2018,"Squirrel","Guelph","ON",1,0,0
137,2018,"Squirrel","Norwalk","OH",1,0,0
138,2018,"Animal","Canoe","BC",1,0,11000
139,2018,"Animal","Linden","MI",1,180,10000
140,2018,"Snake","North Myrtle Beach","SC",1,60,4800
141,2018,"Snake","Walnut Ridge","AK",1,0,3200
142,2018,"Squirrel","Madison","IN",1,0,0
143,2018,"Bird","Chico","CA",1,21,1500
144,2018,"Squirrel","Falls City","NB",1,0,0
