"country","points","price","variety","province"
"Italy",89,80,"Nebbiolo","Piedmont"
"US",92,95,"Pinot Noir","California"
"US",87,36,"Zinfandel","California"
"Spain",91,14,"Pedro Ximénez","Andalucia"
"US",88,25,"Pinot Noir","Oregon"
"US",94,70,"Red Blend","California"
"US",92,20,"Sauvignon Blanc","Washington"
"US",86,16,"Merlot","California"
"US",86,26,"Mourvèdre","California"
"France",95,120,"Gewürztraminer","Alsace"
"US",85,39,"Tempranillo","California"
"Chile",84,11,"Carmenère","Colchagua Valley"
"US",85,18,"Rhône-style White Blend","California"
"Argentina",85,17,"Bonarda","Mendoza Province"
"US",89,42,"Pinot Noir","California"
"Italy",89,NA,"Red Blend","Tuscany"
"Italy",91,23,"Corvina, Rondinella, Molinara","Veneto"
"Italy",89,16,"Pinot Bianco","Northeastern Italy"
"US",85,32,"Syrah","California"
"US",81,17,"Cabernet Franc","New Jersey"
"France",89,NA,"Sauvignon Blanc","Loire Valley"
"US",90,40,"Cabernet Sauvignon","Washington"
"Chile",89,20,"Carmenère","Colchagua Valley"
"France",90,48,"Syrah","Rhône Valley"
"US",83,30,"Chardonnay","California"
"Portugal",93,35,"Portuguese Red","Dão"
"Australia",90,27,"Shiraz","South Australia"
"US",87,14,"Chardonnay","California"
"Italy",88,15,"Barbera","Piedmont"
"US",93,40,"Cabernet Sauvignon","Washington"
"US",90,40,"Pinot Noir","Oregon"
"US",90,20,"Red Blend","California"
"US",86,24,"Pinot Noir","California"
"Austria",93,NA,"Riesling","Wachau"
"Australia",89,20,"Cabernet Sauvignon","South Australia"
"Argentina",81,18,"Malbec","Mendoza Province"
"Italy",88,39,"White Blend","Sicily & Sardinia"
"US",93,44,"Pinot Noir","California"
"US",84,23,"Viognier","California"
"US",84,20,"Cabernet Sauvignon","California"
"US",87,15,"Chardonnay","Washington"
"Argentina",84,10,"Cabernet Sauvignon","Mendoza Province"
"France",91,NA,"Bordeaux-style Red Blend","Bordeaux"
"US",88,28,"Petite Sirah","California"
"Italy",87,15,"Vermentino","Tuscany"
"US",80,12,"Cabernet Sauvignon","California"
"France",90,35,"Bordeaux-style Red Blend","Bordeaux"
"Chile",86,11,"Carmenère","Maule Valley"
"France",89,12,"White Blend","Southwest France"
"France",91,30,"Bordeaux-style Red Blend","Bordeaux"
"Italy",93,195,"Nebbiolo","Piedmont"
"Argentina",80,9,"Torrontés","Mendoza Province"
"Spain",89,64,"Tempranillo Blend","Northern Spain"
"Italy",87,18,"Prosecco","Veneto"
"Italy",91,105,"Sangiovese Grosso","Tuscany"
"France",85,11,"Rosé","Languedoc-Roussillon"
"US",83,14,"Sauvignon Blanc","California"
"Italy",90,41,"Sangiovese","Central Italy"
"US",93,49,"Pinot Noir","California"
